Team,Position,Shirt number,Name,Minutes played,Games played,Full games played,Games started,Games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
Atlético de Madrid,Goalkeeper,13,Oblak ,3.33,37,37,37,0,0,0,0,0,0,0,27,0,1,259,23,0,1,1,5,1,7,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,6,8,759,147,612,0,0
Atlético de Madrid,Defender,2,Godín,2.507,30,27,28,3,7,0,0,3,0,1,24,9,45,138,134,30,22,0,80,49,89,57,0,24,32,0,0,0,10,14,8,1,10,1,3,0,0,1,0,2,0,1,0,0,52,275,129,146,1.047,862,184,1,3
Atlético de Madrid,Defender,3,Filipe Luis,2.037,27,15,24,12,4,0,0,2,0,0,18,3,44,143,38,36,30,0,103,75,18,10,2,14,26,0,1,1,11,10,6,2,23,7,2,0,0,1,0,1,0,0,54,0,66,206,178,28,1.287,1.164,123,0,2
Atlético de Madrid,Defender,4,Arias,1.77,25,16,20,9,4,0,0,1,0,0,10,2,34,99,35,32,16,0,87,43,42,39,2,32,21,0,0,0,6,7,1,1,8,6,1,0,0,1,0,0,0,0,51,0,48,211,130,81,790,744,46,0,1
Atlético de Madrid,Defender,15,Savić,1.399,18,14,17,4,3,1,1,0,0,0,12,9,22,65,64,10,1,0,18,18,35,25,0,6,15,0,0,1,4,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,11,96,36,60,544,425,119,0,0
Atlético de Madrid,Defender,18,Nehuen Pérez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Defender,20,Juanfran,1.609,22,15,18,7,7,0,0,0,0,0,14,5,19,135,30,22,14,0,57,51,14,11,3,10,17,0,1,1,8,0,0,2,11,10,0,0,0,0,0,0,0,0,49,0,36,133,108,25,770,717,53,0,0
Atlético de Madrid,Defender,21,L. Hernández,1.118,14,10,13,4,5,0,0,1,0,0,8,9,14,67,47,25,10,0,60,26,22,13,0,20,13,0,0,0,9,4,1,0,6,4,1,0,0,1,0,0,0,0,10,0,35,121,86,35,509,443,66,0,1
Atlético de Madrid,Defender,24,J. M. Giménez,1.772,21,17,19,4,5,0,0,0,0,0,12,14,44,92,125,15,11,0,50,21,56,27,0,18,8,0,1,0,4,13,3,0,7,1,0,0,0,0,0,0,0,0,0,0,26,154,71,83,718,542,175,1,0
Atlético de Madrid,Defender,33,Andrés Solano,45,1,0,1,1,0,0,0,0,0,0,0,0,0,4,1,3,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,1,26,24,2,0,0
Atlético de Madrid,Defender,35,Francisco Montero,401,9,2,4,7,2,0,0,0,0,0,5,4,5,13,16,4,4,0,9,7,1,5,2,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,16,6,160,120,40,0,0
Atlético de Madrid,Defender,54,Manuel Sánchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,5,Thomas,2.064,32,16,22,16,7,1,1,3,0,0,21,5,50,144,19,42,24,0,121,82,40,33,0,21,31,0,0,1,14,31,7,4,35,6,0,3,0,3,0,0,0,0,10,17,66,276,203,73,1.327,1.197,122,8,2
Atlético de Madrid,Midfielder,6,Koke,2.587,30,26,29,4,8,1,1,3,0,0,22,5,31,176,32,46,38,0,135,126,15,17,2,38,34,1,0,2,13,13,6,4,13,4,1,2,0,3,0,0,0,0,45,87,84,293,261,32,1.941,1.76,167,14,3
Atlético de Madrid,Midfielder,8,Saúl,2.925,33,32,32,1,10,0,0,4,0,1,26,10,42,204,74,56,27,0,141,147,95,65,7,26,55,0,1,2,21,40,20,1,34,18,4,0,3,1,0,0,0,1,49,0,83,448,288,160,1.483,1.358,121,4,2
Atlético de Madrid,Midfielder,14,Rodrigo,2.742,34,23,32,11,5,0,0,3,0,0,20,11,41,280,67,70,33,0,163,124,78,37,1,43,59,0,0,2,12,25,7,1,18,5,2,1,1,1,0,1,0,0,2,0,103,402,287,115,1.927,1.776,150,1,2
Atlético de Madrid,Midfielder,28,Cristian Rodríguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
